State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),PERCENT_HISP,PERCENT_WHITE,Summary level,State,County,Census Tract
Census Tract 1160,"3,150","2,528",80.30%,18,0.60%,6,0.20%,73,2.30%,4,0.10%,16,0.50%,230,7.30%,275,0.09,0.8,140,6,41,116000
Census Tract 1170,"4,713","3,590",76.20%,53,1.10%,4,0.10%,242,5.10%,2,0.00%,55,1.20%,309,6.60%,458,0.1,0.76,140,6,41,117000
Census Tract 1181,"2,338","2,052",87.80%,1,0.00%,0,0.00%,40,1.70%,0,0.00%,19,0.80%,96,4.10%,130,0.06,0.88,140,6,41,118100
Census Tract 1191,"4,796","3,956",82.50%,25,0.50%,2,0.00%,189,3.90%,5,0.10%,27,0.60%,275,5.70%,317,0.07,0.82,140,6,41,119100
Census Tract 1192.01,"3,644","2,317",63.60%,107,2.90%,3,0.10%,248,6.80%,2,0.10%,65,1.80%,213,5.80%,689,0.19,0.64,140,6,41,119201
Census Tract 1192.02,"3,567","2,803",78.60%,11,0.30%,0,0.00%,245,6.90%,5,0.10%,34,1.00%,257,7.20%,212,0.06,0.79,140,6,41,119202
Census Tract 1200.01,"1,374","1,015",73.90%,7,0.50%,0,0.00%,92,6.70%,0,0.00%,33,2.40%,101,7.40%,126,0.09,0.74,140,6,41,120001
Census Tract 1200.02,"5,177","4,203",81.20%,34,0.70%,9,0.20%,244,4.70%,7,0.10%,27,0.50%,333,6.40%,320,0.06,0.81,140,6,41,120002
Census Tract 1211,"5,799","4,252",73.30%,37,0.60%,6,0.10%,358,6.20%,6,0.10%,68,1.20%,413,7.10%,659,0.11,0.73,140,6,41,121100
Census Tract 1212,"6,478","4,339",67.00%,268,4.10%,17,0.30%,578,8.90%,11,0.20%,53,0.80%,391,6.00%,821,0.13,0.67,140,6,41,121200
Census Tract 1220,"3,669","1,058",28.80%,"1,528",41.60%,79,2.20%,77,2.10%,21,0.60%,16,0.40%,90,2.50%,800,0.22,0.29,140,6,41,122000
Census Tract 1230,"2,131","1,843",86.50%,17,0.80%,5,0.20%,71,3.30%,0,0.00%,10,0.50%,75,3.50%,110,0.05,0.86,140,6,41,123000
Census Tract 1241,"5,590","4,274",76.50%,44,0.80%,3,0.10%,434,7.80%,3,0.10%,41,0.70%,400,7.20%,391,0.07,0.76,140,6,41,124100
Census Tract 1242,"5,873","4,636",78.90%,70,1.20%,6,0.10%,431,7.30%,11,0.20%,53,0.90%,320,5.40%,346,0.06,0.79,140,6,41,124200
Census Tract 1250,"4,211","2,842",67.50%,48,1.10%,8,0.20%,661,15.70%,9,0.20%,24,0.60%,227,5.40%,392,0.09,0.67,140,6,41,125000
Census Tract 1261,"5,955","5,005",84.00%,26,0.40%,6,0.10%,217,3.60%,4,0.10%,27,0.50%,352,5.90%,318,0.05,0.84,140,6,41,126100
Census Tract 1262,"4,495","3,230",71.90%,72,1.60%,8,0.20%,480,10.70%,6,0.10%,56,1.20%,280,6.20%,363,0.08,0.72,140,6,41,126200
Census Tract 1270,"4,560","3,795",83.20%,26,0.60%,4,0.10%,183,4.00%,1,0.00%,27,0.60%,271,5.90%,253,0.06,0.83,140,6,41,127000
Census Tract 1281,"6,970","5,425",77.80%,60,0.90%,8,0.10%,414,5.90%,6,0.10%,55,0.80%,446,6.40%,556,0.08,0.78,140,6,41,128100
Census Tract 1282,"4,876","3,938",80.80%,26,0.50%,6,0.10%,220,4.50%,3,0.10%,17,0.30%,350,7.20%,316,0.07,0.81,140,6,41,128200
Census Tract 1290,"2,641",767,29.00%,787,29.80%,1,0.00%,368,13.90%,13,0.50%,26,1.00%,194,7.30%,485,0.18,0.29,140,6,41,129000
Census Tract 1302.01,"3,444","2,856",82.90%,18,0.50%,8,0.20%,181,5.30%,5,0.10%,12,0.30%,149,4.30%,215,0.06,0.83,140,6,41,130201
Census Tract 1302.03,"1,687","1,305",77.40%,13,0.80%,0,0.00%,134,7.90%,2,0.10%,8,0.50%,91,5.40%,134,0.08,0.77,140,6,41,130203
Census Tract 1302.04,"2,813","2,370",84.30%,26,0.90%,3,0.10%,115,4.10%,1,0.00%,20,0.70%,116,4.10%,162,0.06,0.84,140,6,41,130204
Census Tract 1311,"1,065",837,78.60%,22,2.10%,13,1.20%,33,3.10%,0,0.00%,11,1.00%,56,5.30%,93,0.09,0.79,140,6,41,131100
Census Tract 1321,"2,111","1,713",81.10%,15,0.70%,9,0.40%,39,1.80%,6,0.30%,18,0.90%,120,5.70%,191,0.09,0.81,140,6,41,132100
Census Tract 1322,"1,824","1,412",77.40%,5,0.30%,0,0.00%,29,1.60%,10,0.50%,18,1.00%,91,5.00%,259,0.14,0.77,140,6,41,132200
Census Tract 1330,"3,215","2,357",73.30%,13,0.40%,14,0.40%,45,1.40%,4,0.10%,19,0.60%,105,3.30%,658,0.21,0.73,140,6,41,133000
Census Tract 9901,0,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,140,6,41,990100
,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
Mariposa County,"17,131","12,838",74.90%,105,0.60%,410,2.40%,287,1.70%,15,0.10%,114,0.70%,"1,222",7.10%,"2,140",0.13,0.75,50,6,43,
Census Tract 1.01,"3,729","2,717",72.90%,43,1.20%,127,3.40%,70,1.90%,1,0.00%,34,0.90%,241,6.50%,496,0.13,0.73,140,6,43,101
Census Tract 1.02,"2,619","1,996",76.20%,20,0.80%,47,1.80%,27,1.00%,0,0.00%,17,0.60%,157,6.00%,355,0.14,0.76,140,6,43,102
Census Tract 2,"3,206","2,328",72.60%,10,0.30%,33,1.00%,45,1.40%,4,0.10%,14,0.40%,295,9.20%,477,0.15,0.73,140,6,43,200
Census Tract 3.01,"3,819","2,919",76.40%,15,0.40%,123,3.20%,81,2.10%,0,0.00%,27,0.70%,261,6.80%,393,0.1,0.76,140,6,43,301
Census Tract 3.02,"2,814","2,153",76.50%,6,0.20%,70,2.50%,39,1.40%,8,0.30%,10,0.40%,204,7.20%,324,0.12,0.77,140,6,43,302
Census Tract 4,944,725,76.80%,11,1.20%,10,1.10%,25,2.60%,2,0.20%,12,1.30%,64,6.80%,95,0.1,0.77,140,6,43,400
,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
Mendocino County,"91,601","56,205",61.40%,607,0.70%,"3,528",3.90%,"1,730",1.90%,110,0.10%,592,0.60%,"4,896",5.30%,"23,933",0.26,0.61,50,6,45,
Census Tract 101,"3,100","1,165",37.60%,8,0.30%,968,31.20%,18,0.60%,1,0.00%,11,0.40%,192,6.20%,737,0.24,0.38,140,6,45,10100
Census Tract 102,"4,267","3,182",74.60%,17,0.40%,222,5.20%,64,1.50%,1,0.00%,30,0.70%,259,6.10%,492,0.12,0.75,140,6,45,10200
Census Tract 103,"4,233","3,159",74.60%,67,1.60%,35,0.80%,65,1.50%,6,0.10%,35,0.80%,245,5.80%,621,0.15,0.75,140,6,45,10300
Census Tract 104,"3,356","2,115",63.00%,18,0.50%,43,1.30%,47,1.40%,0,0.00%,12,0.40%,246,7.30%,875,0.26,0.63,140,6,45,10400
Census Tract 105,"4,333","2,480",57.20%,28,0.60%,38,0.90%,72,1.70%,8,0.20%,33,0.80%,195,4.50%,"1,479",0.34,0.57,140,6,45,10500
Census Tract 106.01,"3,059","2,196",71.80%,14,0.50%,112,3.70%,14,0.50%,1,0.00%,17,0.60%,149,4.90%,556,0.18,0.72,140,6,45,10601
Census Tract 106.02,"4,528","3,387",74.80%,37,0.80%,112,2.50%,39,0.90%,5,0.10%,42,0.90%,262,5.80%,644,0.14,0.75,140,6,45,10602
Census Tract 107,"6,386","3,976",62.30%,53,0.80%,291,4.60%,96,1.50%,8,0.10%,35,0.50%,413,6.50%,"1,514",0.24,0.62,140,6,45,10700
Census Tract 108.01,"6,018","3,758",62.40%,18,0.30%,290,4.80%,58,1.00%,6,0.10%,57,0.90%,339,5.60%,"1,492",0.25,0.62,140,6,45,10801
Census Tract 108.02,"1,849","1,364",73.80%,2,0.10%,14,0.80%,3,0.20%,0,0.00%,14,0.80%,106,5.70%,346,0.19,0.74,140,6,45,10802
Census Tract 109,"4,983","2,535",50.90%,18,0.40%,99,2.00%,113,2.30%,6,0.10%,23,0.50%,185,3.70%,"2,004",0.4,0.51,140,6,45,10900
Census Tract 110.01,"2,027","1,714",84.60%,20,1.00%,6,0.30%,26,1.30%,5,0.20%,10,0.50%,120,5.90%,126,0.06,0.85,140,6,45,11001
Census Tract 110.03,"2,984","2,321",77.80%,18,0.60%,23,0.80%,29,1.00%,2,0.10%,25,0.80%,210,7.00%,356,0.12,0.78,140,6,45,11003
Census Tract 110.04,"2,443","2,082",85.20%,15,0.60%,6,0.20%,26,1.10%,4,0.20%,21,0.90%,125,5.10%,164,0.07,0.85,140,6,45,11004
Census Tract 111.02,"4,436","3,105",70.00%,20,0.50%,151,3.40%,40,0.90%,5,0.10%,41,0.90%,207,4.70%,867,0.2,0.7,140,6,45,11102
Census Tract 112,"3,582","1,963",54.80%,15,0.40%,23,0.60%,17,0.50%,2,0.10%,11,0.30%,157,4.40%,"1,394",0.39,0.55,140,6,45,11200
Census Tract 113,"6,010","2,984",49.70%,43,0.70%,240,4.00%,99,1.60%,8,0.10%,49,0.80%,275,4.60%,"2,312",0.39,0.5,140,6,45,11300
Census Tract 114,"4,434","3,116",70.30%,40,0.90%,93,2.10%,104,2.30%,11,0.20%,21,0.50%,295,6.70%,754,0.17,0.7,140,6,45,11400
Census Tract 115.01,"3,390","1,779",52.50%,8,0.20%,79,2.30%,104,3.10%,4,0.10%,21,0.60%,219,6.50%,"1,176",0.35,0.52,140,6,45,11501
Census Tract 115.02,"3,596","1,620",45.10%,22,0.60%,142,3.90%,102,2.80%,8,0.20%,26,0.70%,138,3.80%,"1,538",0.43,0.45,140,6,45,11502
Census Tract 116,"6,298","2,648",42.00%,109,1.70%,195,3.10%,206,3.30%,5,0.10%,26,0.40%,290,4.60%,"2,819",0.45,0.42,140,6,45,11600
Census Tract 117,"4,236","2,373",56.00%,16,0.40%,153,3.60%,364,8.60%,13,0.30%,30,0.70%,176,4.20%,"1,111",0.26,0.56,140,6,45,11700
Census Tract 118,"2,053","1,183",57.60%,1,0.00%,193,9.40%,24,1.20%,1,0.00%,2,0.10%,93,4.50%,556,0.27,0.58,140,6,45,11800
Census Tract 9901,0,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,140,6,45,990100
,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
Merced County,"281,202","68,729",24.40%,"8,191",2.90%,"1,164",0.40%,"19,824",7.00%,617,0.20%,"1,242",0.40%,"7,578",2.70%,"173,857",0.62,0.24,50,6,47,
Census Tract 2.01,"3,325","1,020",30.70%,5,0.20%,30,0.90%,79,2.40%,0,0.00%,7,0.20%,89,2.70%,"2,095",0.63,0.31,140,6,47,201
Census Tract 2.02,"1,807",482,26.70%,2,0.10%,12,0.70%,38,2.10%,0,0.00%,0,0.00%,36,2.00%,"1,237",0.69,0.27,140,6,47,202
Census Tract 2.04,"4,927",677,13.70%,14,0.30%,9,0.20%,281,5.70%,11,0.20%,10,0.20%,104,2.10%,"3,821",0.78,0.14,140,6,47,204
Census Tract 2.05,"4,318",529,12.30%,15,0.30%,2,0.00%,88,2.00%,8,0.20%,16,0.40%,62,1.40%,"3,598",0.83,0.12,140,6,47,205
Census Tract 3.01,"5,003",405,8.10%,33,0.70%,5,0.10%,909,18.20%,3,0.10%,17,0.30%,67,1.30%,"3,564",0.71,0.08,140,6,47,301
Census Tract 3.03,"1,996",813,40.70%,0,0.00%,12,0.60%,59,3.00%,5,0.30%,14,0.70%,42,2.10%,"1,051",0.53,0.41,140,6,47,303
Census Tract 3.05,"6,279",562,9.00%,28,0.40%,19,0.30%,"1,816",28.90%,12,0.20%,9,0.10%,45,0.70%,"3,788",0.6,0.09,140,6,47,305
Census Tract 3.06,"3,856",170,4.40%,37,1.00%,28,0.70%,344,8.90%,8,0.20%,15,0.40%,39,1.00%,"3,215",0.83,0.04,140,6,47,306
Census Tract 4.01,"1,681",724,43.10%,7,0.40%,5,0.30%,1,0.10%,1,0.10%,12,0.70%,30,1.80%,901,0.54,0.43,140,6,47,401
Census Tract 4.03,"3,617","2,403",66.40%,5,0.10%,20,0.60%,58,1.60%,1,0.00%,13,0.40%,137,3.80%,980,0.27,0.66,140,6,47,403
Census Tract 4.04,"4,239","3,001",70.80%,5,0.10%,15,0.40%,27,0.60%,1,0.00%,12,0.30%,164,3.90%,"1,014",0.24,0.71,140,6,47,404
Census Tract 5.03,"2,903",963,33.20%,433,14.90%,66,2.30%,87,3.00%,0,0.00%,6,0.20%,35,1.20%,"1,313",0.45,0.33,140,6,47,503
Census Tract 5.04,"6,475",822,12.70%,116,1.80%,22,0.30%,249,3.80%,1,0.00%,9,0.10%,95,1.50%,"5,161",0.8,0.13,140,6,47,504
Census Tract 5.05,"6,974","1,444",20.70%,48,0.70%,26,0.40%,335,4.80%,10,0.10%,24,0.30%,139,2.00%,"4,948",0.71,0.21,140,6,47,505
Census Tract 6.01,"5,608","1,568",28.00%,135,2.40%,40,0.70%,146,2.60%,7,0.10%,25,0.40%,207,3.70%,"3,480",0.62,0.28,140,6,47,601
Census Tract 6.02,"3,806","1,109",29.10%,91,2.40%,19,0.50%,140,3.70%,10,0.30%,8,0.20%,163,4.30%,"2,266",0.6,0.29,140,6,47,602
Census Tract 6.03,"6,502","1,782",27.40%,197,3.00%,15,0.20%,203,3.10%,14,0.20%,34,0.50%,165,2.50%,"4,092",0.63,0.27,140,6,47,603
Census Tract 7.01,"3,484",664,19.10%,108,3.10%,15,0.40%,68,2.00%,3,0.10%,10,0.30%,77,2.20%,"2,539",0.73,0.19,140,6,47,701
Census Tract 7.02,"5,125","2,665",52.00%,72,1.40%,24,0.50%,350,6.80%,3,0.10%,24,0.50%,235,4.60%,"1,752",0.34,0.52,140,6,47,702
Census Tract 8.01,"6,216","1,793",28.80%,269,4.30%,18,0.30%,390,6.30%,17,0.30%,45,0.70%,218,3.50%,"3,466",0.56,0.29,140,6,47,801
Census Tract 8.02,"4,709","1,563",33.20%,144,3.10%,28,0.60%,290,6.20%,11,0.20%,16,0.30%,205,4.40%,"2,452",0.52,0.33,140,6,47,802
Census Tract 9.01,"3,512","1,104",31.40%,98,2.80%,18,0.50%,126,3.60%,3,0.10%,3,0.10%,62,1.80%,"2,098",0.6,0.31,140,6,47,901
Census Tract 9.03,"4,640",936,20.20%,119,2.60%,20,0.40%,607,13.10%,9,0.20%,18,0.40%,144,3.10%,"2,787",0.6,0.2,140,6,47,903
Census Tract 9.04,"4,945","1,142",23.10%,107,2.20%,8,0.20%,981,19.80%,0,0.00%,12,0.20%,182,3.70%,"2,513",0.51,0.23,140,6,47,904
Census Tract 10.03,"4,190",707,16.90%,346,8.30%,18,0.40%,474,11.30%,5,0.10%,24,0.60%,203,4.80%,"2,413",0.58,0.17,140,6,47,1003
Census Tract 10.04,"3,969","1,271",32.00%,281,7.10%,33,0.80%,382,9.60%,4,0.10%,25,0.60%,172,4.30%,"1,801",0.45,0.32,140,6,47,1004
Census Tract 10.05,"2,285",491,21.50%,161,7.00%,21,0.90%,148,6.50%,9,0.40%,14,0.60%,117,5.10%,"1,324",0.58,0.21,140,6,47,1005
Census Tract 10.06,"5,496","2,008",36.50%,231,4.20%,20,0.40%,598,10.90%,12,0.20%,30,0.50%,210,3.80%,"2,387",0.43,0.37,140,6,47,1006
Census Tract 10.07,"4,202","1,084",25.80%,228,5.40%,14,0.30%,968,23.00%,10,0.20%,22,0.50%,180,4.30%,"1,696",0.4,0.26,140,6,47,1007
Census Tract 10.08,"7,278","1,636",22.50%,384,5.30%,14,0.20%,"1,647",22.60%,11,0.20%,43,0.60%,313,4.30%,"3,230",0.44,0.22,140,6,47,1008
Census Tract 11.01,"6,089","2,498",41.00%,245,4.00%,37,0.60%,485,8.00%,15,0.20%,40,0.70%,249,4.10%,"2,520",0.41,0.41,140,6,47,1101
Census Tract 12,"5,365","2,306",43.00%,150,2.80%,22,0.40%,337,6.30%,11,0.20%,40,0.70%,198,3.70%,"2,301",0.43,0.43,140,6,47,1200
Census Tract 13.01,"3,413",949,27.80%,162,4.70%,32,0.90%,113,3.30%,0,0.00%,26,0.80%,138,4.00%,"1,993",0.58,0.28,140,6,47,1301
Census Tract 13.02,"3,016",886,29.40%,243,8.10%,16,0.50%,121,4.00%,1,0.00%,15,0.50%,111,3.70%,"1,623",0.54,0.29,140,6,47,1302
Census Tract 14.01,"4,150","1,115",26.90%,166,4.00%,17,0.40%,171,4.10%,3,0.10%,18,0.40%,145,3.50%,"2,515",0.61,0.27,140,6,47,1401
Census Tract 14.02,"4,813","1,662",34.50%,193,4.00%,24,0.50%,269,5.60%,7,0.10%,35,0.70%,175,3.60%,"2,448",0.51,0.35,140,6,47,1402
Census Tract 15.01,"2,689",405,15.10%,81,3.00%,17,0.60%,413,15.40%,9,0.30%,12,0.40%,46,1.70%,"1,706",0.63,0.15,140,6,47,1501
Census Tract 15.02,"2,768",128,4.60%,77,2.80%,9,0.30%,55,2.00%,4,0.10%,0,0.00%,28,1.00%,"2,467",0.89,0.05,140,6,47,1502
Census Tract 15.03,"4,844",301,6.20%,274,5.70%,29,0.60%,298,6.20%,6,0.10%,10,0.20%,80,1.70%,"3,846",0.79,0.06,140,6,47,1503
Census Tract 16.01,"4,166",292,7.00%,236,5.70%,6,0.10%,120,2.90%,4,0.10%,14,0.30%,66,1.60%,"3,428",0.82,0.07,140,6,47,1601
Census Tract 16.03,"3,847",173,4.50%,118,3.10%,5,0.10%,649,16.90%,6,0.20%,7,0.20%,48,1.20%,"2,841",0.74,0.05,140,6,47,1603
Census Tract 16.04,"4,436",371,8.40%,164,3.70%,13,0.30%,786,17.70%,15,0.30%,25,0.60%,77,1.70%,"2,985",0.67,0.08,140,6,47,1604
Census Tract 17,"7,032","1,435",20.40%,341,4.80%,35,0.50%,591,8.40%,7,0.10%,24,0.30%,196,2.80%,"4,403",0.63,0.2,140,6,47,1700
Census Tract 18.01,"5,397","2,010",37.20%,385,7.10%,46,0.90%,724,13.40%,4,0.10%,27,0.50%,145,2.70%,"2,056",0.38,0.37,140,6,47,1801
Census Tract 19.01,"5,279",471,8.90%,57,1.10%,7,0.10%,57,1.10%,11,0.20%,20,0.40%,58,1.10%,"4,598",0.87,0.09,140,6,47,1901
Census Tract 19.02,"2,376",600,25.30%,14,0.60%,11,0.50%,24,1.00%,2,0.10%,8,0.30%,49,2.10%,"1,668",0.7,0.25,140,6,47,1902
Census Tract 20.01,"1,431",442,30.90%,0,0.00%,0,0.00%,15,1.00%,1,0.10%,0,0.00%,27,1.90%,946,0.66,0.31,140,6,47,2001
Census Tract 20.02,"7,099","2,433",34.30%,27,0.40%,7,0.10%,91,1.30%,2,0.00%,40,0.60%,166,2.30%,"4,333",0.61,0.34,140,6,47,2002
Census Tract 21,"4,732","1,086",23.00%,47,1.00%,19,0.40%,128,2.70%,7,0.10%,31,0.70%,116,2.50%,"3,298",0.7,0.23,140,6,47,2100
Census Tract 22.01,"6,720","1,092",16.30%,100,1.50%,31,0.50%,109,1.60%,24,0.40%,28,0.40%,134,2.00%,"5,202",0.77,0.16,140,6,47,2201
Census Tract 22.03,"6,155",807,13.10%,133,2.20%,26,0.40%,145,2.40%,54,0.90%,23,0.40%,129,2.10%,"4,838",0.79,0.13,140,6,47,2203
Census Tract 22.04,"5,895",841,14.30%,123,2.10%,28,0.50%,82,1.40%,17,0.30%,36,0.60%,85,1.40%,"4,683",0.79,0.14,140,6,47,2204
Census Tract 23.01,"8,401","2,705",32.20%,189,2.20%,28,0.30%,404,4.80%,40,0.50%,46,0.50%,219,2.60%,"4,770",0.57,0.32,140,6,47,2301
Census Tract 23.03,"6,511","1,137",17.50%,195,3.00%,16,0.20%,168,2.60%,43,0.70%,33,0.50%,133,2.00%,"4,786",0.74,0.17,140,6,47,2303
Census Tract 23.04,"2,827",384,13.60%,46,1.60%,1,0.00%,135,4.80%,29,1.00%,34,1.20%,75,2.70%,"2,123",0.75,0.14,140,6,47,2304
Census Tract 23.05,"6,012",804,13.40%,88,1.50%,17,0.30%,206,3.40%,45,0.70%,12,0.20%,119,2.00%,"4,721",0.79,0.13,140,6,47,2305
Census Tract 23.06,"3,537",393,11.10%,83,2.30%,8,0.20%,130,3.70%,27,0.80%,21,0.60%,73,2.10%,"2,802",0.79,0.11,140,6,47,2306
Census Tract 24.01,"1,623",602,37.10%,12,0.70%,0,0.00%,17,1.00%,2,0.10%,9,0.60%,56,3.50%,925,0.57,0.37,140,6,47,2401
Census Tract 24.03,"3,416",646,18.90%,156,4.60%,9,0.30%,6,0.20%,8,0.20%,4,0.10%,68,2.00%,"2,519",0.74,0.19,140,6,47,2403
Census Tract 24.04,"5,132","1,010",19.70%,126,2.50%,20,0.40%,42,0.80%,2,0.00%,24,0.50%,95,1.90%,"3,813",0.74,0.2,140,6,47,2404
Census Tract 25,"2,197","1,137",51.80%,7,0.30%,16,0.70%,138,6.30%,0,0.00%,11,0.50%,87,4.00%,801,0.37,0.52,140,6,47,2500
Census Tract 26.01,"2,489",474,19.00%,94,3.80%,7,0.30%,385,15.50%,7,0.30%,14,0.60%,72,2.90%,"1,436",0.58,0.19,140,6,47,2601
Census Tract 26.02,"3,978","1,596",40.10%,140,3.50%,9,0.20%,521,13.10%,15,0.40%,38,1.00%,178,4.50%,"1,481",0.37,0.4,140,6,47,2602
,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
Modoc County,"8,700","6,446",74.10%,66,0.80%,387,4.40%,61,0.70%,13,0.10%,56,0.60%,412,4.70%,"1,259",0.15,0.74,50,6,49,
Census Tract 1,"3,342","2,494",74.60%,39,1.20%,98,2.90%,38,1.10%,7,0.20%,20,0.60%,178,5.30%,468,0.14,0.75,140,6,49,100
Census Tract 2,"1,511","1,056",69.90%,2,0.10%,36,2.40%,1,0.10%,0,0.00%,12,0.80%,67,4.40%,337,0.22,0.7,140,6,49,200
Census Tract 3,"2,741","2,059",75.10%,25,0.90%,164,6.00%,22,0.80%,2,0.10%,13,0.50%,132,4.80%,324,0.12,0.75,140,6,49,300
Census Tract 4,"1,106",837,75.70%,0,0.00%,89,8.00%,0,0.00%,4,0.40%,11,1.00%,35,3.20%,130,0.12,0.76,140,6,49,400
,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
Mono County,"13,195","8,679",65.80%,68,0.50%,177,1.30%,159,1.20%,26,0.20%,78,0.60%,501,3.80%,"3,507",0.27,0.66,50,6,51,
Census Tract 1.01,"3,454","2,655",76.90%,8,0.20%,72,2.10%,39,1.10%,15,0.40%,27,0.80%,162,4.70%,476,0.14,0.77,140,6,51,101
Census Tract 1.02,"2,542","1,674",65.90%,30,1.20%,99,3.90%,18,0.70%,1,0.00%,12,0.50%,77,3.00%,631,0.25,0.66,140,6,51,102
Census Tract 2.01,"2,993","1,877",62.70%,15,0.50%,2,0.10%,40,1.30%,4,0.10%,25,0.80%,102,3.40%,928,0.31,0.63,140,6,51,201
Census Tract 2.02,"4,206","2,473",58.80%,15,0.40%,4,0.10%,62,1.50%,6,0.10%,14,0.30%,160,3.80%,"1,472",0.35,0.59,140,6,51,202
,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
Monterey County,"439,035","120,077",27.40%,"9,051",2.10%,"1,314",0.30%,"25,123",5.70%,"1,859",0.40%,"2,170",0.50%,"14,120",3.20%,"265,321",0.6,0.27,50,6,53,
Census Tract 1.01,"2,328",411,17.70%,19,0.80%,19,0.80%,143,6.10%,6,0.30%,23,1.00%,48,2.10%,"1,659",0.71,0.18,140,6,53,101
Census Tract 1.03,"4,354",531,12.20%,63,1.40%,11,0.30%,497,11.40%,7,0.20%,13,0.30%,94,2.20%,"3,138",0.72,0.12,140,6,53,103
Census Tract 1.04,"3,779",589,15.60%,63,1.70%,9,0.20%,253,6.70%,12,0.30%,13,0.30%,91,2.40%,"2,749",0.73,0.16,140,6,53,104
Census Tract 1.05,"3,346",424,12.70%,60,1.80%,9,0.30%,632,18.90%,7,0.20%,21,0.60%,74,2.20%,"2,119",0.63,0.13,140,6,53,105
Census Tract 1.06,"6,451",407,6.30%,57,0.90%,4,0.10%,"1,020",15.80%,15,0.20%,27,0.40%,95,1.50%,"4,826",0.75,0.06,140,6,53,106
Census Tract 2,"7,396",676,9.10%,85,1.10%,20,0.30%,325,4.40%,21,0.30%,22,0.30%,123,1.70%,"6,124",0.83,0.09,140,6,53,200
Census Tract 3,"4,744",699,14.70%,43,0.90%,16,0.30%,291,6.10%,10,0.20%,22,0.50%,120,2.50%,"3,543",0.75,0.15,140,6,53,300
Census Tract 4,"8,175",980,12.00%,159,1.90%,23,0.30%,341,4.20%,26,0.30%,45,0.60%,150,1.80%,"6,451",0.79,0.12,140,6,53,400
Census Tract 5.01,"4,892",57,1.20%,12,0.20%,14,0.30%,22,0.40%,0,0.00%,10,0.20%,8,0.20%,"4,769",0.98,0.01,140,6,53,501
Census Tract 5.02,"4,281",330,7.70%,8,0.20%,2,0.00%,155,3.60%,2,0.00%,9,0.20%,44,1.00%,"3,731",0.87,0.08,140,6,53,502
Census Tract 6,"6,853",106,1.50%,9,0.10%,5,0.10%,37,0.50%,0,0.00%,12,0.20%,18,0.30%,"6,666",0.97,0.02,140,6,53,600
Census Tract 7.01,"6,427",84,1.30%,15,0.20%,6,0.10%,28,0.40%,4,0.10%,33,0.50%,31,0.50%,"6,226",0.97,0.01,140,6,53,701
Census Tract 7.02,"6,194",75,1.20%,1,0.00%,18,0.30%,14,0.20%,1,0.00%,48,0.80%,15,0.20%,"6,022",0.97,0.01,140,6,53,702
Census Tract 8,"5,579",127,2.30%,16,0.30%,6,0.10%,18,0.30%,11,0.20%,20,0.40%,36,0.60%,"5,345",0.96,0.02,140,6,53,800
Census Tract 9,"5,912",197,3.30%,18,0.30%,15,0.30%,53,0.90%,0,0.00%,16,0.30%,23,0.40%,"5,590",0.95,0.03,140,6,53,900
Census Tract 12,"3,295","1,307",39.70%,51,1.50%,13,0.40%,126,3.80%,3,0.10%,27,0.80%,112,3.40%,"1,656",0.5,0.4,140,6,53,1200
Census Tract 13,"2,733",266,9.70%,77,2.80%,33,1.20%,89,3.30%,7,0.30%,14,0.50%,59,2.20%,"2,188",0.8,0.1,140,6,53,1300
Census Tract 14,"2,914",923,31.70%,43,1.50%,11,0.40%,117,4.00%,3,0.10%,17,0.60%,131,4.50%,"1,669",0.57,0.32,140,6,53,1400
Census Tract 15,"6,412","2,373",37.00%,110,1.70%,23,0.40%,474,7.40%,29,0.50%,25,0.40%,302,4.70%,"3,076",0.48,0.37,140,6,53,1500
Census Tract 16,"2,886","1,043",36.10%,33,1.10%,8,0.30%,207,7.20%,5,0.20%,7,0.20%,101,3.50%,"1,482",0.51,0.36,140,6,53,1600
Census Tract 17,"4,180",749,17.90%,55,1.30%,10,0.20%,169,4.00%,9,0.20%,13,0.30%,114,2.70%,"3,061",0.73,0.18,140,6,53,1700
Census Tract 18.01,"4,405",624,14.20%,110,2.50%,15,0.30%,350,7.90%,17,0.40%,35,0.80%,130,3.00%,"3,124",0.71,0.14,140,6,53,1801
Census Tract 18.02,"5,955",734,12.30%,142,2.40%,34,0.60%,428,7.20%,19,0.30%,21,0.40%,121,2.00%,"4,456",0.75,0.12,140,6,53,1802
